drug_name,interaction_text,interaction_type,reference
Erythrityl tetranitrate,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Erythrityl tetranitrate,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Acepromazine,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Acepromazine,Take with food. Food reduces irritation.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Molindone,"Avoid alcohol. Severe CNS depression, which can be caused by alcohol, is a contraindication for molindone hydrochloride therapy.",avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Phenindamine,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Phenindamine,Take with food. Food reduces irritation.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Pipotiazine,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Pipotiazine,Take with food. Food decreases irritation.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Thioproperazine,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Thioproperazine,Take with food. Food decreases irritation.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Thiothixene,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Zuclopenthixol,Avoid alcohol. Acute alcohol intoxication is a contraindication for zuclopenthixol therapy.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Zuclopenthixol,Take with or without food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Pargyline,"Avoid tyramine-containing foods and supplements. Foods that contain tyramine include yogurt, aged cheese, ripe bananas, wine, and sourdough bread.",avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Etoricoxib,Take with or without food. The absorption is unaffected by food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Roflumilast,"Take with or without food. Administering roflumilast with a high-fat meal reduced and delayed the Cmax and Tmax, respectively, but did not impact the AUC of roflumilast or its active metabolite (roflumilast N‐oxide).",recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cocarboxylase,Take with or without food. Many different products contain cocarboxylase; refer to the product monograph for more specific instruction. EnBrace HR and EnLyte products should be taken on an empty stomach.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Vorinostat,Take with food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cholic Acid,Take separate from antacids. Take at least 1 hour before or 4-6 hours after aluminum-containing antacids.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cholic Acid,Take with food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Fusidic acid,Take with food. Food reduces irritation.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Flavin adenine dinucleotide,Avoid alcohol. Ingesting alcohol may reduce the absorption of FAD.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Oteracil,Take separate from meals. Oteracil should be separated from meals by at least one hour before and after eating.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Flavin mononucleotide,Avoid alcohol. Ingesting alcohol may reduce the absorption of FMN.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Oxyphenbutazone,Take with food. Food reduces irritation.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Carbocisteine,Take with or without food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Trioxsalen,"Avoid foods high in furanocoumarins. Eating these foods while you are taking trioxsalen may increase your skin's sensitivity to sunlight. Examples include limes, figs, parsley, parsnips, mustard, carrots, and celery.",avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Thiotepa,"Exercise caution with grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of thiotepa, which may increase its serum concentration.",caution,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Thiotepa,Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism and may reduce serum levels of thiotepa.,caution,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Estrone sulfate,Take with food. Food decreases nausea.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Fleroxacin,Avoid milk and dairy products.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Fleroxacin,Limit caffeine intake.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Fleroxacin,Take with a full glass of water.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Fleroxacin,Take with or without food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Coumarin,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Coumarin,Ensure consistent Vitamin K intake.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Maraviroc,Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of maraviroc.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Maraviroc,Take with or without food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Amineptine,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Amineptine,Avoid St. John's Wort.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Amineptine,Limit caffeine intake.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Amineptine,Take with food. Food reduces irritation.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Clofedanol,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Clofedanol,Take with or without food. The absorption is unaffected by food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cyclandelate,Take with food. Food reduces irritation.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cyproterone acetate,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cyproterone acetate,Take after a meal.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Debrisoquine,Take with or without food. The absorption is unaffected by food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Flunarizine,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Flunarizine,Take with or without food. The absorption is unaffected by food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Fluspirilene,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Tetrabenazine,Avoid alcohol. Ingesting alcohol may increase the drowsiness caused by tetrabenazine.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Tetrabenazine,Take with or without food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ixabepilone,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of ixabepilone, which may increase its serum concentration.",avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ixabepilone,Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of ixabepilone.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Celiprolol,Avoid fruit juice. Orange juice may reduce the absorption of celiprolol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Celiprolol,Avoid grapefruit products. Grapefruit juice may reduce the absorption of celiprolol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Celiprolol,"Take with or without food. The bioavailability of celiprolol may be reduced when taken with food, however, it is unlikely that this reduction is clinically relevant.",recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Roxadustat,Take with or without food. Food can decrease Cmax but not to a clinically significant extent.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Febuxostat,Take with or without food. A high fat meal decreases Cmax and AUC in a clinically insignificant way.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Dronedarone,Avoid grapefruit products. Co-administration with grapefruit may increase drug concentrations by 3-fold.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Dronedarone,Avoid St. John's Wort. This herb induces CYP3A4 and may increase the serum concentration of dronedarone.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Dronedarone,"Take with food. Food, especially high-fat food, increases drug absorption.",recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nebivolol,Avoid alcohol.,avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nebivolol,Take with or without food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nilotinib,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of nilotinib, causing increased serum levels of nilotinib.",avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nilotinib,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of nilotinib.",avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nilotinib,Take on an empty stomach. Food increases the AUC of nilotinib. Separate nilotinib administration from meals by at least one hour before and two hours after eating.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Lorcaserin,Take with or without food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Vildagliptin,"Take with or without food. Food reduces Cmax and delays Tmax, but not in a clinically significant way.",recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Bepotastine,Take with or without food. Orally formulated bepotastine bioavailability is not significantly impacted by food.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Milnacipran,"Avoid excessive or chronic alcohol consumption. Avoid excessive or chronic alcohol consumption. Milnacipran may worsen liver disease, which is potentially caused by excessive alcohol use.",avoid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Milnacipran,Take with or without food. Taking milnacipran with food may improve its tolerability.,recommended_intake,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
